Employee ID,First Name,Last Name,Birth Date,Hire Date,CityID,Reference
100,Ava,Harper,1997-06-20,2023-07-01,4,
101,Ella,Eleanor,1983-02-14,2019-10-25,2,100.0
102,Mark,Ford,1997-05-11,2019-11-01,3,200.0
103,Tim,Park,1994-11-13,2016-10-13,4,
104,Allan,Miller,1976-10-28,2019-04-13,1,100.0
105,Barbara,King,1984-12-23,2018-01-01,3,
106,Dorothy,Goldsmith,1981-06-18,2017-07-28,1,100.0
107,Mike,Little,1980-05-24,2016-12-26,3,
108,Tim,Henchard,1980-02-20,2023-06-21,4,
109,Bruno,Ward,1995-08-07,2016-10-06,3,100.0
110,Amy,lman,1979-05-19,2020-03-06,3,200.0
111,Laxman,Prasad,1977-11-12,2022-05-25,2,
112,Clara,Richards,1973-03-20,2019-02-21,4,
